"HolderAddress","Balance","PendingBalanceUpdate"
"0x9aa757048bdf14f9ae60bdaef07f30f4651558d7","7.52408307E-09","No"
"0x11fdcbc556bc07a9cbe9539409048e499ce9e611","1.078058807341E-06","No"
"0x8813745dab1c8af8205b5813c3b42e2016a93349","3.0935821641E-08","No"
"0xc567973a0bb24d5f2fdd5de611fb054e8fa9b7a8","6.29751944501E-07","No"
"0x96dc4580e02c10548bc2e170aa7d41725159c5c4","4.41432803936E-07","No"
"0xcdb11b851e6d52654cfea08a4a99cbf70ef6f331","6.7817E-14","No"
"0x20179378397c9f74289b3854b74626f28c5fc802","2.5471279979709E-05","No"
"0x03790e7cf72043a99c3da29ce4fd3927cd456442","1.4867328155892E-05","No"
"0x114514655c38c0e039acadcf199991fdbb039a09","3.64887172741E-07","No"
"0xfd8462c6e861650239628c69fdb019d76149e5ee","2.817730145348E-06","No"
"0x498509d337bd0eafd6b0d45b43fb77a1a9aaa84e","1.959723694879E-05","No"
"0xf098c4c3c318a95ba98e108a25d8109847670e59","1.398609297031E-06","No"
"0x09894f000c09e1f22a358b38f2ddeb1be264d055","6.833765072843E-06","No"
"0x3a1723d4593c7a3ad2fa8f7b2da59736f767075a","1.534854311713E-06","No"
"0xfb6a576c0f71e2d0201215854102f6f6d4c0fc45","4.88285809196E-07","No"
"0x7f517b33eaa9c5cf3beba046c2aa51c2fc8bcc32","6.4751959856522E-05","No"
"0x82c7d83fd5e062ff905ec7d2dc7178488a267f53","5.555315972E-09","No"
"0xe79f90bf816f1635a5c9cd2a4fcb0f98bf85e2ec","1.598622306313E-06","No"
"0xd079f70a23f61fa6696ec55c2fdda1a93a99bcd3","0.000249206948438657","No"
"0xa76f637da1f721832fd325f59dd82ceb63ded041","9.365544435667E-06","No"
"0xdc3ee359c3e95d9adb74541fb48cc6295e81c366","5.9400895359E-08","No"
"0xe093ea5f7765a822309a92a5c2123f78dd9fcd0c","0.000271238686079809","No"
"0x92573b3a2dd59f9a520dcdbb3536ed99dae36726","9.19341743008E-07","No"
"0xc1ba4d28e3879277a9d2ab7357997b048e6bbf24","0.00100959983521662","No"
"0x84294bb21adc7d5204c8a367c8416b6422f2bcfd","3.540409868628E-06","No"
"0x598674b1ae57178a432560f8d0dbbd140ae3bf0a","3.9306039505728E-05","No"
"0x099b8786e6f8f7e9c332c08db99ac4272208b4a1","9.662289777519E-06","No"
"0x9da89809737670815d83c0dcd2b5434e21990590","1.49077276723E-06","No"
"0x29d3feacd7883028b29cc01d989517e0c177a83c","3.522662274236E-06","No"
"0xeefb79b9e3e343723a51997b7b8a4d3cf83f1a62","1.645200247188E-06","No"
"0x033b0a2e36f48cf992e4ea545eca0c7762deb10e","1.385737170147E-06","No"
"0x036decc0a267d5365bb66531bd215127f4e41bd0","4.812131744942E-06","No"
"0xae049e227655c7fc36cc6720b519d795b75b51d6","6.563258048305E-06","No"
"0x794b9ecd01d291b86d4f9633e4804d8a1d156d95","6.2482977697535E-05","No"
"0xd367270108d0d0cb944001f77afde1e0a9e60054","7.202144618596E-06","No"
"0x142ac709e9d778854d201026221e6cddae0ca8a9","2.1150419777559E-05","No"
"0xa23cef627597a37c36fa40bf3e247c14bc7e3417","1.16261490718E-06","No"
"0x7d2e10a52eb243e87e98648b89e09fc37b473779","0.000216243011163192","No"
"0x1c622798aa6030625a71b5cc30b36c37d69488b1","2.407320869E-08","No"
"0x7ea999db3691fe67cb7369439a2c0e184be208f4","0.00029405504646906","No"
"0x285e6e07ce1bcd84cc9b6f2ef661de222899eb23","2.7542328264258E-05","No"
"0x3a32ecf794c2172f47d0186baee4bfa74d2ebc9f","2.766101326262E-06","No"
"0xc8d11cef29a2cb7acd2a964f63e1fde133391585","2.51532129527E-07","No"
"0xe364af06ec5c464e1b466aff71565978fa79526e","7.73974665078E-06","No"
"0xf4ee77680cfa2296353575018137edfd4ce3c6c4","1.57176846219E-07","No"
"0xf6eaea4a130a38789cd3afb352b1e1a27c674abc","7.617957321131E-06","No"
"0x947efc7b11a8c05c44522b20584cb59819c395e8","1.494383765924E-06","No"
"0x2df2fac410b106c735e08f59b3a1b35603ce0444","1.61756077157E-07","No"
"0xd1dd02c10c586aa9d4eccfd2e2983997ec1058d3","8.2989945894169E-05","No"
"0x53be7d60af48f5d9b7af8dc3c34b8377b7d9340f","1.67452872989E-07","No"
"0x8aa4e298aaea6c8e5ccca0804e9cd517aa7ba28a","0.000112109196297491","No"
"0xff22455eafae32f1680eacf9ebc962fd4f22b35d","3.35375517186E-07","No"
"0x2140f75a859b2736328c3b4fc0bf72de2606795c","3.29452024991E-07","No"
"0x667438b9d0c5d917ddb65ab3049a2e61c0547c7d","4.89316447325E-07","No"
"0x9e2580d82854c1631b4c36e5c8d7e2755f401cb9","2.2619934127302E-05","No"
"0x023d6d7077a04cfb6951ffaf5d8ddbb83fbf1f04","5.11606286E-10","No"
"0xc788a76707d08a6d35ea9ef1bd7eda24ce45e7fe","1.7319261219018E-05","No"
"0x4e4cf7054436d67992ce40ccc02bb2f53a6ae736","4.3048966484854E-05","No"
"0x165476aa1987732cbc6eabadcfd140cab7c27a3c","4.00412687437E-07","No"
"0x8adf6236b811f2d09916a7bd7f1370e2598f5acc","2.281803222114E-06","No"
"0x09de0d89c0145df5cef5d739d168bc00b036bc35","2.131854031124E-06","No"
"0x16a1bf7aa0dca07c80760a39a2ed3030fc10c3bf","4.2433930451823E-05","No"
"0x03e9559671c95e4e66f35422c1cb4098e65b33ec","5.083966143E-09","No"
"0xb6a115cd4933cc404835279c0c562f67b74182cb","9.74494699E-10","No"
"0x878cb017b7b3f1d8dbe6bbd52980ea9ba0f0fa01","7.933940273564E-06","No"
"0x4783281a06e91e5d0a136be35b86bd93e8d43904","3.393976447803E-06","No"
"0x494133328c3bb0ddbc02ff54289d0393382ae386","2.1412526790157E-05","No"
"0xb062766313a66353fd9401708cba26f60573c7f9","3.05009568967E-07","No"
"0x0092dea281a190286b4c9367251af539da02a49e","4.434772072352E-06","No"
"0xd542824e899c133ff40f9e012a69143556ba74f5","4.1482815821E-08","No"
"0xa3e674bb71c170cce91b45b060abebd6df19a5f7","8.837666061375E-06","No"
"0x9b4525aefeda97b78559012dda8163ef90b3df21","2.063047374608E-06","No"
"0xcd8751f14746296c24970479bfb0b590e60cb82f","1.702941210812E-06","No"
"0xcfff720869646cf2f01a5ae08e2dbd4ff1642683","1.0171482714633E-05","No"
"0x66666600e43c6d9e1a249d29d58639dedfcd9ade","2.733167698E-09","No"
